Average,A central value representative of a data set (see arithmetic mean).
floor division,A division operation that rounds the result to an integer. The floor division operator is written as //.
Base Station (BS),A station that mobile devices connect to.
evaluate,"When an expression is evaluated, the result is the object that the expression represents."
data items,"Data items are represented by and manipulated with programs or code. In Python, all data items are objects."
expression (basic),Basic expressions are not constructed from other expressions. Variables and literals are basic expressions. 
ASCII,A standard for encoding character data.
bit error,A bit in a data stream that has been altered due to noise.
De Morgans laws,A pair of laws that show the equivalence of logic expressions. 
double,A float format that typically uses 8 bytes. 
clock cycle,The interval between regular electrical pulses that synchronizes events within a computer. The processor clock cycle determines the speed at which instructions are executed.
control bus,An electrical pathway that carries symbolic data representing control instructions and control signals between parts of a computer system. 
remainder,"The remainder of two numbers x and y (written x % y and read ""x modulo y"") is the rest after dividing x by y using floor division, i.e. what remains after trying to 'fit' y as many times as possible into x. If the remainder is zero, then x is a multiple of y."
encoding,The process of converting data into a format required for processing. 
float,"A number that contains a decimal point. 3.3, 2.111191919, 0.0000001, etc. Typically a float is stored in 4 bytes. "
full-adder,"A logic gate circuit that adds three one-bit binary numbers and outputs two one-bit binary numbers, a sum and a carry."
half-adder,"A logic circuit that adds two single binary digits A and B. It has two outputs, sum (S) and carry (C)."
IEEE 754,A standard for representing floating point values. 
inverter,A NOT logic gate. 
logic circuit,A digital circuit formed of logic gates. 
logic expression,An expression using binary values or variables and operators that can be evaluated to give a value of 1 (True) or 0 (False).
logic gate,A physical or abstract device that implements a logic operation. 
testing,The process of checking that the program works as expected by running it with particular inputs and comparing the actual outputs to the expected ones.
Complementary Metal Oxide Semiconductor (CMOS),"A type of transistor. As CMOS is a very commonly used in making active pixel sensor, sometimes CMOS is referred as an image sensor."
Coriolis vibratory gyroscope (CVG),A type of microelectromechanical gyroscope.
logic operation,"An operation that takes one or more binary input values to produce an output that is also binary value, i.e. a value of 1 (True) or 0 (False). NOT, AND and OR are all examples of logic operations. "
noise,A random fluctuation in an electrical or mechanical signal. 
Digital Signal Processor (DSP),A specialised processor unit that process digital signals effectively.
precision,"The refinement in a measurement, calculation, or specification, especially as represented by the number of digits given."
overflow,The condition that occurs when the result of a calculation is greater in magnitude than the computer can store. 
Femtocell,"A small, low-power cellular network base station."
comparison operator,"An operator used in a Boolean expression that compares two numbers. The comparison operators are > (greater than), < (less than), >= (greater than or equal to), <= (less than or equal to), == (equal to) and != (not equal to)."
sign-magnitude,A way of representing signed integer data in a computer. 
compiler,"A computer program that takes as input one or more files containing the text of another computer program (known as the source code), checks the text for errors, and translates the whole text into another programming language (see object code) before the program is executed. Usually a compiler translates a high-level language into a low-level language. See source code and object code. Contrast compiler with interpreter. "
string,"A sequence of characters enclosed in single quote marks, e.g. 'Hello!'. To editor: The quote marks must be straight, i.e. not 'and '."
Flash memory,A type of non-volatile memory of which its contents can be erased and rewritten.
Boolean operator,"An operator that takes one or two true/false values and produces another one. The Boolean operators are and (conjunction), or (disjunction) and not (negation)."
Gyroscope,A device that measures rotation.
standard,An established norm or requirement regarding a data format or technical system. 
Inertia,The resistance of a mass to change its state of motion.
truth table,"A table of binary values in which the columns represent the input values, the intermediate and result values of logic operations. The rows represent the combination of input values and the corresponding intermediate and output values. Used to show the output of logic operations and logic expressions for all possible combinations of input values. "
Indium Tin Oxide (ITO),A transparent conductive material.
symbol,"A distinguishable notation or figure conventionally or arbitrarily accepted as representing some quantity, process, instruction, value, relationship or operation. "
